id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
29_aug2,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
30_aug0,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
30_aug1,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
30_aug2,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
31_aug0,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
31_aug1,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
31_aug2,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
32_aug0,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
32_aug1,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
32_aug2,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
33_aug0,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
33_aug1,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
33_aug2,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
34_aug0,apa itu cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
34_aug1,apa itu cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
34_aug2,apa itu cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
35_aug0,apa yang dimaksud dengan cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
35_aug1,apa itu yang dimaksud dengan cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
35_aug2,apa yang dimaksud dengan cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
36_aug0,definisi dari cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
36_aug1,definisi dari cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
36_aug2,definisi dari cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
37_aug0,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
37_aug1,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
37_aug2,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
38_aug0,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
38_aug1,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
38_aug2,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
39_aug0,berapa lama cuti akademik ya?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
39_aug1,berapa lama cuti akademik ya?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
39_aug2,berapa lama cuti akademik ya?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
Mahasiswa mengisi40_aug0,bagaimana cara mengajukan cuti?, formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
40_aug1,bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
40_aug2,bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
41_aug0,gimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
41_aug1,gimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
41_aug2,gimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
42_aug0,bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
42_aug1,bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
42_aug2,bagaimana cara cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
43_aug0,apa syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
43_aug1,apa itu syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
43_aug2,apa syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
44_aug0,apa itu syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
44_aug1,apakah syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
44_aug2,apa syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
45_aug0,apa syarat mengikuti uts ya?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
45_aug1,apa itu syarat mengikuti uts ya?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
45_aug2,apa syarat mengikuti uts ya?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
46_aug0,apakah syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
46_aug1,apa syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
46_aug2,apakah syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
47_aug0,apakah syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
47_aug1,apa syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
47_aug2,apakah syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
48_aug0,apa syarat mengikuti uas ya?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
48_aug1,apa itu syarat mengikuti uas ya?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
48_aug2,apa syarat mengikuti uas ya?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
49_aug0,kapan uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
49_aug1,kapan uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
49_aug2,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
50_aug0,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
50_aug1,kapan uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
50_aug2,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
51_aug0,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
51_aug1,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
51_aug2,waktu uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
52_aug0,kapan uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
52_aug1,kapan uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
52_aug2,kapan uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
53_aug0,waktu uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
53_aug1,waktu uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
53_aug2,waktu uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
54_aug0,kapan sih uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
54_aug1,kapan uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
54_aug2,kapan sih uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
55_aug0,apa itu khs ya?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
55_aug1,apa itu khs ya?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
55_aug2,apakah itu khs ya?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
56_aug0,apa itu itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
56_aug1,apakah itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
56_aug2,apakah itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
57_aug0,apa itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
57_aug1,apa itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
57_aug2,apakah itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
58_aug0,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
58_aug1,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
58_aug2,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59_aug0,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59_aug1,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59_aug2,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60_aug0,waktu khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60_aug1,kapan khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60_aug2,kapan sih khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
61_aug0,apakah itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
61_aug1,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
61_aug2,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
62_aug0,definisi dari ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
62_aug1,definisi dari ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
62_aug2,definisi dari ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
63_aug0,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
63_aug1,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
63_aug2,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
64_aug0,apa itu ipk ya?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
64_aug1,apakah itu ipk ya?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
64_aug2,apa itu ipk ya?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65_aug0,definisi dari ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65_aug1,definisi dari ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65_aug2,definisi dari ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66_aug0,apa itu ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66_aug1,apa itu ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66_aug2,apa itu ipk?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
67_aug0,apa itu saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
67_aug1,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
67_aug2,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68_aug0,apakah saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68_aug1,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68_aug2,apa itu saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69_aug0,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69_aug1,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69_aug2,apakah saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
70_aug0,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
70_aug1,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
70_aug2,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71_aug0,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71_aug1,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71_aug2,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72_aug0,berapa lama proses surat akademik ya?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72_aug1,berapa lama proses surat akademik ya?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72_aug2,berapa lama proses surat akademik ya?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
73_aug0,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
73_aug1,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
73_aug2,apakah itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74_aug0,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74_aug1,apa itu itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74_aug2,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75_aug0,apa itu yang dimaksud dengan kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75_aug1,apakah yang dimaksud dengan kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75_aug2,apa itu yang dimaksud dengan kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
76_aug0,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
76_aug1,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
76_aug2,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77_aug0,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77_aug1,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77_aug2,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78_aug0,apakah kalender akademik bersifat wajib ya?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78_aug1,apakah kalender akademik bersifat wajib ya?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78_aug2,apakah kalender akademik bersifat wajib ya?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
79_aug0,definisi dari universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
79_aug1,definisi dari universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
79_aug2,definisi dari universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
80_aug0,apakah itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
80_aug1,apa itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
80_aug2,apakah itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
81_aug0,apa itu itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
81_aug1,apakah itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
81_aug2,apakah itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
82_aug0,di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
82_aug1,di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
82_aug2,di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83_aug0,di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83_aug1,dimana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83_aug2,dimana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84_aug0,dimana lokasi kampus utama ya?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84_aug1,dimana lokasi kampus utama ya?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84_aug2,lokasi lokasi kampus utama ya?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
85_aug0,kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
85_aug1,waktu jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
85_aug2,kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
86_aug0,kapan jadwal kuliah dimulai setiap semester ya?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
86_aug1,waktu jadwal kuliah dimulai setiap semester ya?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
86_aug2,kapan jadwal kuliah dimulai setiap semester ya?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
87_aug0,kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
87_aug1,waktu jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
87_aug2,kapan sih jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
88_aug0,berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
88_aug1,berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
88_aug2,berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
